date,tracker_id,count_finished,count_active,length,duration,offtrack_time,avg_speed
2024-06-28,3036057,3,3,1096.93,11.309444444444445,12.690555555555555,96.99238591148008
2024-06-28,3036060,34,34,227.95,5.205,18.795,43.79442843419788
2024-06-28,3036068,44,45,369.2,8.610277777777778,15.389722222222222,42.87898828918927
2024-06-28,3036069,3,4,1011.47,11.904166666666667,12.095833333333333,84.96772838641932
2024-06-28,3036070,44,44,147.71,3.7780555555555555,20.221944444444446,39.096831115359166
2024-06-28,3036071,23,23,250.21,5.9875,18.0125,41.78872651356994
2024-06-29,877766,38,39,814.17,17.97222222222222,6.027777777777779,45.30157650695518
2024-06-29,877767,19,20,870.22,19.52388888888889,4.476111111111109,44.57206271519221
2024-06-29,877768,72,73,808.28,18.879444444444445,5.120555555555555,42.812700467880994
2024-06-29,3036043,57,57,269.84,6.520833333333333,17.479166666666668,41.38121405750798
